country,date,confirmed,deaths
Spain,2020-09-08,8964,-20
Spain,2020-09-09,8866,-44
Spain,2020-09-10,10764,37
Spain,2020-09-11,12183,-23
Spain,2020-09-12,0,-48
Spain,2020-09-13,0,0
Spain,2020-09-14,27404,101
Spain,2020-09-15,9437,55
Spain,2020-09-16,11193,83
Spain,2020-09-17,11291,-77
Spain,2020-09-18,14389,-72
Spain,2020-09-19,0,-90
Spain,2020-09-20,0,0
Spain,2020-09-21,31428,168
Spain,2020-09-22,10799,73
Spain,2020-09-23,11289,-111
Spain,2020-09-24,10653,-46
Spain,2020-09-25,12272,30
Spain,2020-09-26,0,-114
Spain,2020-09-27,0,0
